"id,Title,Date,CustomerCode,Type,ItemCode,Remarques,""Paire de branche"",""Branche gauche"",""Branche droite"",""Verres presentation"",""Verres solaires"",Face,Tenon,""Vis plaquettes"",""Vis face"",""Vis branches"",Manchon,Plaquettes,Vis,""Manchon gauche"",""Manchon droit"",""Tenon gauche"",""Tenon droit"""
"156771,""Utilisateur : 2563 - Reference monture : votrimblec1"",20190111,C0475989622,""Pieces detachees"",votrimblec1,dessoude,,1,,,,,,,,,,,,,,,"
"156772,""Utilisateur : 2563 - Reference monture : vobevanc1"",20190111,C0475989622,""Pieces detachees"",vobevanc1,""visse de face manquante "",,,,,,1,,,,,,,,,,,"
"156773,""Utilisateur : 1343 - Reference monture : vomayallc2"",20190111,C0321986635,""Pieces detachees"",vomayallc2,""dubois oriane"",,,,,,1,,,,,,,,,,,"
"156781,""Utilisateur : 3498 - Reference monture : vomayallc1"",20190111,C0650022236,""Pieces detachees"",vomayallc1,,,,,,,1,,,,,,,,,,,"
"156782,""Utilisateur : 185 - Reference monture : logibusc3"",20190111,C0142383303,""Pieces detachees"",logibusc3,sow,,1,,,,1,,,,,,,,,,,"
"156783,""Utilisateur : 185 - Reference monture : lorockcityc2"",20190111,C0142383303,""Pieces detachees"",lorockcityc2,sow,,1,1,,,,,,,,,,,,,,"
"156794,""Utilisateur : 3058 - Reference monture : voturunenc1"",20190111,C0524215258,""Pieces detachees"",voturunenc1,,,,,,,,,,,,,,,,,1,"
"156795,""Utilisateur : 2254 - Reference monture : vokeelyc2"",20190111,C0466773101,""Pieces detachees"",vokeelyc2,""face fendue sur monture neuve encore en magasin..."",,,,,,1,,,,,,,,,,,"
"156797,""Utilisateur : 3422 - Reference monture : voauerbachc6"",20190111,C0563370812,""Pieces detachees"",voauerbachc6,,,1,1,,,1,,,,,,,,,,,"
"156798,""Utilisateur : 599 - Reference monture : logibusc3"",20190111,C0232354896,""Pieces detachees"",logibusc3,""TANGUY TOM"",,1,1,,,,,,,,,,,,,,"
"156799,""Utilisateur : 2501 - Reference monture : votrimblec1"",20190111,C0474940750,""Pieces detachees"",votrimblec1,""ref BEALLE"",,1,,,,,,,,,,,,,,,"
