id;mai
1;Optiquerepblique17@gmail.com
2;haddad.mina@voila.fr
3;optique.perignon@9business.fr
4;lldj@orange.fr
5;Montfort-chaloffe@vision-plus.fr
6;boutikoptic@orange.fr
7;smedard@anquetil-opticiens.fr
8;cfruchet@mutualitelimousine.fr
9;atolgrasse@hotmail.fr
10;optique.brion@orange.fr
11;compta-afflelou-marion@outlook.fr
12;ampuis@justeunregard.com
13;carole.bailey@eovi.fr
14;micoptic.belleville@gmail.com
15;guillaiume.mazuire@gmail.com
16;optique.lamour@orange.fr
17;dijon-toisondor@krys.com
18;centrale@anquetil-opticiens.fr
19;miriam.jenke@gmail.com
20;avousdevoir.houdant@wanadoo.fr
21;marcoptique@9business.fr
22;bain-de-bretagne.chateau-gaill
23;sginon@optipop.fr
24;stephanie.you@mutuelles-de-ven
25;expertsbonchamps@yahoo.fr
26;voiretpus@gmail.com
27;optic2000lesbanchais@chereauopticiens.fr
28;ktymarie@orange
29;optique.evreux@grandoptical.com
30;om.mondeville@mfn-ssam.fr
31;mboptique@hotmail.com
32;kirk@angeleye-eyewear.com
33;D+302109935698
34;od.village@yahoo.fr
35;contact@optiquematy.com
36;nloptique@hotmail.com
37;jonathan@angeleyes-eyewear.com
38;vincent@angeleyes-eyewear.com
39;lopticiendeplacesdarmes@orange.fr
40;royal-opmc@wanadoo.fr
41;ludovic.garcia@previfrance.fr
42;optic.montauban@previfrance.fr
43;william.joly@previfrance.fr
44;optique.figeac@udsma-mf12.fr
45;lom.lesequestre@umt-terresdoc.fr
46;lom.castres@umt-terresdoc.fr
47;Montauban@optissimo.fr
48;tarbes@opticeo.fr
49;lodm2016@gmail.com
50;c02343@audioptic.net
51;ibos@opticeo.fr
52;contact@roselloopticien.fr
53;m.birello@mutualite-francaise-gers.fr
54;optique.islejourdain@mutualite-francaise-gers.fr
55;Loptic95@gmail.com
56;optique.condom@mutualite-francaise-gers.fr
57;optique.trm@mutualite-mhg.fr
58;sophie3003@msn.com
59;optique.r@mutualite-mhg.fr
60;bertrand.archier@previfrance.fr
61;Optimumvisionbayonne@gmail.com
62;dhantraye@mutualiste64.fr
63;biarritz@opticeo.fr
64;urrugne@opticeo.fr
65;optiqueblanc-compta@hotmail.fr
66;optiquedeshalles@outlook.fr
67;cob@previfrance.fr
68;com@previfrance.fr
69;coa@previfrance.fr
70;Cos@previfrance.fr
